Abbreviated source title,Abstract,Abstract type,Access type,Accession number,Article number,Author,Author affiliation,CODEN,Classification code,Conference code,Conference date,Conference location,Conference name,Controlled/Subject terms,Copyright,Corresponding author,DOI,Data Provider,Database,Document type,E-ISSN,Funding details,Funding text,ISBN13,ISSN,Issue,Issue date,Language,Main heading,Monograph title,Number of references,Pages,Part number,Publication year,Publisher,Source,Sponsor,Title,Title of translation,Uncontrolled terms,Volume,Volume title
Chem. Eng. Process.: Process Intensif.,"The clean utilization of the CuCl residue containing chloride produced from zinc hydrometallurgy residue is very important for the recycling of valuable metals. In order to strengthen the process of dechlorination, a new method of microwave roasting under the atmosphere of steam and oxygen was put forward. It was demonstrated that the dechlorination rate of CuCl residue by microwave roasting was higher than that of conventional roasting by tubular resistance furnace under the same conditions (temperature, holding time and atmosphere). After roasting at a temperature of 450. °C for 80. min under a gas flow rate of 150. mL/min in microwave filed, the dechlorination rate of CuCl residue was as high as 97%, increasing 18% compared to that of conventional roasting using tubular resistance furnace. The chatacterization of phases variation of CuCl residue in microwave field by means of XRD, SEM-EDS and Raman spectroscopy indicated that the process of dechlorination by microwave roasting under the atmosphere of steam and oxygen was much more efficient than conventional roasting. © 2015 Elsevier B.V.",,,20151700777519,,"Guo, Zhan-yong (1, 2, 3); Lei, Ting (4); Li, Wei (1, 2, 3); Luo, Hui-long (1, 2, 3); Ju, Shao-hua (1, 2, 3); Peng, Jin-hui (1, 2, 3); Zhang, Li-bo (1, 2, 3) ","(1) Yunnan Provincial Key Laboratory of Intensification Metallurgy, Kunming, Yunnan; 650093, China (2) National Local Joint Laboratory of Engineering Application of Microwave Energy, Equipment Technology, Kunming, Yunnan; 650093, China (3) Key Laboratory of Unconventional Metallurgy, Ministry of Education, Kunming University of Science and Technology, Kunming, Yunnan; 650093, China (4) Kunming Metallurgy College, Kunming, Yunnan; 650093, China ",CENPEU,531.1 Metallurgy - 631.1.2 Gas Dynamics - 711 Electromagnetic Waves - 802.2 Chemical Reactions - 802.3 Chemical Operations - 804 Chemical Products Generally,,,,,Calcination - Chlorine compounds - Dechlorination - Electric furnaces - Flow of gases - Hydrometallurgy - Microwaves - Ores - Oxygen - Strengthening (metal),"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Ju, Shao-hua(shj_200801@126.com) ",10.1016/j.cep.2015.03.024,Engineering Village,Compendex,Journal article (JA),,"Number: -, Acronym: MOST, Sponsor: Ministry of Science and Technology, Government of the People&rsquo;s Republic of Bangladesh; Number: 51104073, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 2013HA002, Acronym: -, Sponsor: -; ","The authors gratefully acknowledge the National Natural Science Foundation of China (NO. 51104073) and Technology of People’s Republic of China, Yunnan Provincial Science and Technology Innovation Talents scheme–Technological Leading Talent (No. 2013HA002) for funding this work.",,02552701,,"June 01, 2015",English,Copper compounds,,31.0,67-73,,2015,Elsevier B.V.,Chemical Engineering and Processing - Process Intensification,,Clean utilization of CuCl residue by microwave roasting under the atmosphere of steam and oxygen,,CuCl residue - Dechlorination rate - Holding time - Microwave field - Resistance furnaces - SEM-EDS - Valuable metals - Zinc hydrometallurgy,92,
J. Organomet. Chem.,"Abstract A series of structurally novel organometallic compounds (3a-g) based on 1-biaryl-3-ferrocenylprop-2-en-1-one, were synthesized by the Suzuki-Miyaura cross-coupling reaction for applications as nonlinear optical (NLO) and liquid crystal (LC) materials. Notably, a single crystal of this class of compounds was obtained for the very first time, and it was found that the two phenyl rings of the chalconyl group were nearly coplanar to one of the cyclopentadienyl rings of ferrocene. Due to the high degree of conjugation, all the chalcone analogues of ferrocenyl biaryl derivatives displayed strong second harmonic generation (SHG) response (0.45-0.60 × 10-30esu, 3-4 times greater that of potassium dideuterophosphate (KDP)). The density functional theory (DFT) was employed to calculate the main molecular orbital energies and compositions of 3d, based on its crystallographic structure. Compound 3d was found to exhibit excellent NLO properties due to its low Egapand superior charge transfer ability within the conjugated system. This work presents a new approach for the preparation of this class of ferrocenyl biaryl derivatives, which may have potential applications as NLO materials. © 2015 Elsevier B.V.",,,20152600971677,19085,"Teng, Ming-Yu (1); Zhang, Jie (3); Huang, Guo-Li (1); Liu, Bo (1); Li, Xiao-Mei (1); Rong, Mei-Zhu (1); Shen, Tian-Hua (2); Song, Qing-Bao (2) ","(1) Facult of Chemistry and Chemical Engineering, Yunnan Normal University, Kunming; 650500, China (2) State Key Laboratory Breeding Base of Green Chemistry-Synthesis Technology, School of Chemical Engineering, Zhejiang University of Technology, Hangzhou; 310014, China (3) School of Pharmmaceutical and Chemical Engineering, Taizhou University, Taizhou; 318000, China ",JORCAI,741.1 Light/Optics - 741.1.1 Nonlinear Optics - 801.4 Physical Chemistry - 802.2 Chemical Reactions - 804.1 Organic Compounds - 922.1 Probability Theory - 933.1 Crystalline Solids,,,,,Charge transfer - Chemical bonds - Chemical reactions - Density functional theory - Harmonic generation - Iron compounds - Liquid crystals - Molecular orbitals - Optical properties - Organometallics - Potassium compounds - Single crystals,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Song, Qing-Bao ",10.1016/j.jorganchem.2015.05.044,Engineering Village,Compendex,Journal article (JA),,,,,0022328X,,"June 24, 2015",English,Nonlinear optics,,43.0,298-302,,2015,Elsevier B.V.,Journal of Organometallic Chemistry,,Synthesis and nonlinear optical properties of novel chalcone analogues of ferrocenyl biaryl derivatives,,Chalcones - Crystallographic structure - DFT study - Ferrocenyl derivatives - NLO materials - Non-linear optical properties - Organometallic compounds - Suzuki-Miyaura cross-coupling reaction,791,
"Asia-Pacific Pow. Energy Eng. Conf., APPEEC","The vibration of power transformer is closely related to the mechanical condition of transformer and current when the external short circuit occurs. In this paper, the vibration sensors based on piezoelectric effect are attached to the oil tank of transformer to acquire the vibration signals in short circuit condition, and then the transfer function is applied to study the relationship between the vibration and short- circuit current under multiple short circuit shocks. Compared with traditional frequency domain or time- frequency domain analysis, this method can normalize the vibration in different short circuit condition and clearly illustrate the relationship between vibration and current. The conclusion shows that this method is feasible to evaluate the mechanical condition of transformer by using the correlation analysis of amplitude- frequency characteristic of transfer function in different short circuit condition. © 2015 IEEE.",,,20161902366898,7381064,"Zhang, Fan (1); Ji, Shengchang (1); Qian, Guochao (2); Zou, Dexu (2); Xu, Xiaowei (2) ","(1) State Key Laboratory of Electrical Insulation and Power Equipment, Xi'An Jiaotong University, Xi'an, China (2) Electric Research Institute, Yunnan Power Technology Branch, Kunming, China ",,523 Liquid Fuels - 701.1 Electricity: Basic Concepts and Phenomena - 703.1.1 Electric Network Analysis - 704.2 Electric Equipment - 706.2 Electric Power Lines and Equipment - 713.4 Pulse Circuits - 921 Mathematics - 921.3 Mathematical Transformations - 922.2 Mathematical Statistics,119093.0,"November 15, 2015 - November 18, 2015","Brisbane, QLD, Australia","IEEE PES Asia-Pacific Power and Energy Engineering Conference, APPEEC 2015",Correlation methods - Electric network analysis - Frequency domain analysis - Oil filled transformers - Oil tanks - Piezoelectricity - Power transformers - Timing circuits - Transfer functions,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,10.1109/APPEEC.2015.7381064,Engineering Village,Compendex,Conference article (CA),21574847,,,9781467381321.0,21574839,,"January 12, 2016",English,Vibration analysis,"Proceedings of the 2015 IEEE PES Asia-Pacific Power and Energy Engineering Conference, APPEEC 2015",11.0,,1of1,2015,IEEE Computer Society,"Asia-Pacific Power and Energy Engineering Conference, APPEEC",Energex; ERGON Energy; NOJA Power; Powerlink,The study on vibration characteristic of power transformer in short circuit by transfer function,,Amplitude frequency characteristics - Correlation analysis - Multiple short circuits - Short circuit shocks - Short-circuit conditions - Time-frequency domain analysis - vibration - Vibration characteristics,2016-January,
Int. J. Food Prop.,"The aroma characteristics of Cabernet Sauvignon wines from five different altitudes (Xidang-2110, Dari-2249, Jiunongding-2330, Adong-2610, and Jiangpo-2788, respectively) in the plateau of Yunnan (China) were detected by headspace solid phase micro-extraction gas chromatography mass spectrometry. The results showed that the numbers of volatile compounds increased with altitude rising, while the concentration of the total volatiles decreased with the exception of Xidang-2110. Alcohol and esters accounted for more than 97% of the total volatile compounds. Ten out of thirty-six components (22%) identified and quantified in five wines were found at concentrations higher than their corresponding threshold values (OAVs > 1). Ethyl hexanoate, ethyl butyrate, and 1-octen-3-ol were the three most powerful odorants in wine from Xidang-2110; but odor activity values and relative odor contribution of 1-octen-3-ol were higher than ethyl hexanoate and ethyl butyrate in the wines from Dari-2249 and Adong-2610; meanwhile β-damascenone, ethyl hexanoate, and 1-octen-3-ol were the three most powerful odorants in wines from Jiunongding-2330 and Jiangpo-2788. © Copyright 2015 Taylor & Francis Group, LLC.",,Open Access,20151600765826,,"Yue, Tai-Xin (1, 2, 3); Chi, Ming (1, 2); Song, Chang-Zheng (1, 2); Liu, Mei-Ying (1, 2); Meng, Jiang-Fei (1, 2); Zhang, Zhen-Wen (1, 2); Li, Mei-Hua (4) ","(1) College of Enology, Northwest AandF University, Yangling, Shaanxi; 712100, China (2) Shaanxi Engineering Research Center for Viti-Viniculture, Northwest AandF University, Yangling, Shaanxi, China (3) Baotou Light Industry Vocational Technical College, Baotou, Inner Mongolia, China (4) Planning and Construction Service Center, Peoples Government of Beigu, Beigu, Yunnan, China ",IJFPFO,801 Chemistry - 802.3 Chemical Operations - 804.1 Organic Compounds - 822.3 Food Products,,,,,Gas chromatography - Mass spectrometry - Odors - Volatile organic compounds,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Zhang, Zhen-Wen(zhangzhw60@nwsuaf.edu.cn) ",10.1080/10942912.2014.923442,Engineering Village,Compendex,Journal article (JA),15322386,"Number: -, Acronym: CAU, Sponsor: China Agricultural University; Number: CARS-30-zp-9, Acronym: -, Sponsor: Agriculture Research System of China; ","The author’s would like to acknowledge the assistance from Ke-Xu Cui, Jian-Hong Cao, and Jia-Kui Wang of Shangri-La Winery Company Limited for providing the grape samples. The authors thank the Center for Viticulture and Enology, China Agricultural University for technical assistance in the completion of the GC–MS experiments. The authors thank Miss Hui-Fang Du for her critical reading of the manuscript.",,10942912,7,"July 3, 2015",English,Wine,,45.0,1584-1596,,2015,"Taylor and Francis Inc., 325 Chestnut St, Suite 800, Philadelphia, PA 19106, United States",International Journal of Food Properties,,Aroma characterization of cabernet sauvignon wine from the plateau of Yunnan (China) with different altitudes using SPME-GC/MS,,Altitude - Aroma compounds - Cabernet-Sauvignon - Gas chromatography-mass spectrometry - GC/MS - Headspace solid phase micro extractions - HS-SPME - Odor activity values,18,
Optik,"Unlike the previous design method in which one must know the transformation function beforehand, an inverse design method is proposed to build a metamaterial concentrator in this paper. The required material parameters are independently obtained and expressed as functions of the introduced generator. Scattering magnifying ability of the concentrator and two applications for antenna miniaturization and military camouflage are also investigated. Moreover, to remove the anisotropic parameters and simplify the practical realization of the concentrator, a fan-shaped layered concentrator composed of only alternating isotropic materials is presented based on the effective medium theory. Full-wave simulation results are provided for verification. This work paves a new way for designing metamaterial devices without the need to know the underlying transformation function, and has great guiding significance for the fabrication and application of the concentrator. © 2015 Elsevier GmbH.",,,20152000849154,,"Li, Tinghua (1); Huang, Ming (1); Yang, Jingjing (1); Liang, Yan (1); Yuan, Gang (1) ","(1) Wireless Innovation Lab, School of Information Science and Engineering, Yunnan University, No. 2 North Cuihu Road, Kunming, Yunnan; 650091, China ",,404.1 Military Engineering - 484 Seismology - 951 Materials Science,,,,,Anisotropic media - Antennas - Concentration (process) - Inverse problems - Metamaterials - Military applications - Seismic waves,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Huang, Ming(huangming@ynu.edu.cn) ",10.1016/j.ijleo.2015.03.028,Engineering Village,Compendex,Journal article (JA),,"Number: 2011FB018, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: 2013M531989, Acronym: -, Sponsor: China Postdoctoral Science Foundation; Number: 2013FA006, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: -, Acronym: YNU, Sponsor: Yunnan University; Number: XT512004, Acronym: -, Sponsor: -; Number: 61261002, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61161007, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by the National Natural Science Foundation of China (Grant nos. 61161007 , 61261002 ), the Natural Science Foundation of Yunnan Province (Grant no. 2011FB018 ), China Postdoctoral Science Foundation (Grant no. 2013M531989 ), Key Program of Natural Science of Yunnan Province (Grant no. 2013FA006 ), and the Fostering Foundation (Grant no. XT512004 ) for the Excellent Ph.D. Dissertation of Yunnan University.",,00304026,11-12,"June 1, 2015",English,Design,,28.0,1161-1165,,2015,Urban und Fischer Verlag Jena,Optik,,Inverse design based metamaterial concentrator and its applications and realization,,Antenna miniaturization - Concentrator - Effective medium theories - Full-wave simulations - Guiding significances - Inverse design methods - Transformation functions - Transformation optics,126,
Int J Hydrogen Energy,"Cobalt-free perovskite oxides NdBaCu2O5+δ(NBCO) and NdBa0.5Sr0.5Cu2O5+δ(NBSCO) has been investigated as cathode materials in intermediate-temperature solid fuel cells (IT-SOFCs). The crystal structure, thermal expansion, electrical conductivity and electrochemical properties have been characterized by X-ray diffraction (XRD), dilatometer, four-probe dc method, electrochemical impedance spectroscopy (EIS) and cathodic polarization examinations. The average thermal expansion coefficients (TEC) values of NBCO and NBSCO are 13.0 × 10-6/°C and 14.5 × 10-6/°C, which are more desirable on combining with the electrolytes than cobalt-based cathodes. The partly substitution of Sr on B-site increases the electron hole concentration and improves the conductivity. The polarization resistances values of NBSCO are 0.205 Ωcm2, 0.200 Ωcm2and 0.135 Ωcm2, whereas the polarization resistances values of NBCO are 8.61 Ωcm2, 3.18 Ωcm2and 0.83 Ωcm2at 600 °C, 700 °C and 800 °C, respectively. The improved electrochemical performance of NBSCO should be ascribed to the higher conductivity as well as the improved oxygen adsorption/desorption and oxygen ions diffusion processes. © 2015 Hydrogen Energy Publications, LLC.",,,20155201719626,,"Kong, Xin (1); Liu, Guiyang (1); Yi, Zhongzhou (1); Ding, Xifeng (2) ","(1) Lab of New Materials for Power Sources, College of Science, Honghe University, Mengzi, Yunnan; 661199, China (2) School of Materials Science and Engineering, Nanjing University of Science and Technology, Nanjing, Jiangsu; 210094, China ",IJHEDX,482.2 Minerals - 701.1 Electricity: Basic Concepts and Phenomena - 702.2 Fuel Cells - 801 Chemistry - 802.3 Chemical Operations - 804 Chemical Products Generally - 933.1.1 Crystal Lattice - 951 Materials Science,,,,,Barium compounds - Cathodes - Cathodic polarization - Cobalt compounds - Crystal structure - Electrochemical impedance spectroscopy - Gas adsorption - Hole concentration - Neodymium compounds - Oxygen - Perovskite - Solid oxide fuel cells (SOFC) - Strontium compounds - Thermal expansion - X ray diffraction,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Ding, Xifeng(dingxifeng@njust.edu.cn) ",10.1016/j.ijhydene.2015.09.006,Engineering Village,Compendex,Journal article (JA),,"Number: HXZ1309, Acronym: -, Sponsor: -; Number: DCXL1319, Acronym: -, Sponsor: -; Number: 51362012, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 51362011, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 30920130111022, Acronym: -, Sponsor: -; ","The present work is supported by the National Natural Science Foundation of China (No. 51362011 and No. 51362012 ), the Fundamental Research Funds for the Central Universities (No. 30920130111022 ), the Chemistry Discipline Master's Site Construction Open Foundation of Honghe University of Yunnan Province ( HXZ1309 ), and Innovation and Entrepreneurship Training Program ( DCXL1319 ).",,03603199,46,"December 14, 2015",English,Copper compounds,,31.0,16477-16483,,2015,Elsevier Ltd,International Journal of Hydrogen Energy,,NdBaCu2O5+δand NdBa0.5Sr0.5Cu2O5+δlayered perovskite oxides as cathode materials for IT-SOFCs,,Cath-ode materials - Electrical conductivity - Electrochemical performance - Intermediate temperatures - Layered perovskite oxide - Oxygen ions diffusions - Polarization resistances - Thermal expansion coefficients,40,
J Alloys Compd,"As promising solar cell absorb materials, detailed density functional theory calculations of the structural, electronic, and optical properties of Cu2ZnSn(S1-xSex)4alloys with different crystal structures (including: zincblende-derived kesterite, zincblende-derived stannite, wurtzite-derived kesterite, and wurtzite-derived stannite) over the whole range of Se composition from x = 0 to x = 1 were systematically investigated in the present work. The calculated results revealed that the lattice constants variation of Cu2ZnSn(S1-xSex)4alloys obey the Vegard's law; and the wurtzite-derived alloys have better alloy solubility and component-uniform compared with zincblende-derived alloys. In the whole range of x, the calculated lattice constants, band gaps, dielectric constants, and refractive index are nearly linear varying with Se compositions. Using the fitting functional relationships, one not only designs suitable Cu2ZnSn(S1-xSex)4alloys as absorber materials for solar cells, but also determines the composition of Cu2ZnSn(S1-xSex)4alloys by conventional optical measurements in practice. © 2014 Elsevier B.V. All rights reserved.",,,20143900071696,,"Zhao, Zong-Yan (1); Liu, Qing-Lu (2); Zhao, Xiang (1) ","(1) Faculty of Materials Science and Engineering, Key Laboratory of Advanced Materials of Yunnan Province, Kunming University of Science and Technology, Kunming; 650093, China (2) Key Laboratory of Micro/Nano Materials and Technology of Yunnan Province, Yunnan University, Kunming; 650091, China ",JALCEU,657.1 Solar Energy and Phenomena - 702.3 Solar Cells - 723.2 Data Processing and Image Processing - 741.1 Light/Optics - 804.2 Inorganic Compounds - 922.1 Probability Theory - 933.1.1 Crystal Lattice,,,,,Electronic structure - Energy gap - Lattice constants - Optical data processing - Optical properties - Refractive index - Solar absorbers - Solar cells - Zinc sulfide,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Zhao, Zong-Yan ",10.1016/j.jallcom.2014.08.213,Engineering Village,Compendex,Journal article (JA),,"Number: 2012Y542, Acronym: -, Sponsor: -; Number: -, Acronym: -, Sponsor: Analysis and Testing Foundation of Kunming University of Science and Technology; Number: 21263006, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The authors would like to acknowledge financial support from the National Natural Science Foundation of China (Grant No. 21263006 ), Science Research Foundation of Educational Commission of Yunnan Province of China (Grant No. 2012Y542 ), and Introduced Talents Foundation of Kunming University of Science and Technology.",,09258388,,"January 5, 2015",English,Density functional theory,,41.0,248-253,,2015,Elsevier Ltd,Journal of Alloys and Compounds,,"DFT calculations study of structural, electronic, and optical properties of Cu2ZnSn(S1-xSex)4alloys",,Absorber material - Cu2ZnSn(S1-xSex)4alloys - DFT calculation - Functional relationship - Kesterites - Optical measurement - Vegard's law - Zinc-blende,618,
J Rare Earth,"A series of K3Gd(PO4)2:Tb3+,Sm3+phosphors were synthesized through solid state reaction. By co-doping Tb3+and Sm3+into K3Gd(PO4)2host and singly varying the doping concentration of Sm3+, tunable colors from green to yellow and then to orange were obtained in K3Gd(PO4)2:Tb3+,Sm3+phosphors under the excitation at 373 nm. The energy transfer process from Tb3+to Sm3+was verified through luminescence spectra and fluorescence decay curves. Moreover, the energy transfer mechanism was demonstrated to be the quadrupole-quadrupole interaction. The results indicated that K3Gd(PO4)2:Tb3+,Sm3+phosphors could be a potential application for n-UV white light emitting diodes. © 2015 The Chinese Society of Rare Earths.",,,20151900819933,,"Wang, Ting (1); Xu, Xuhui (1, 2); Zhou, Dacheng (1, 2); Qiu, Jianbei (1, 2); Yu, Xue (1) ","(1) College of Materials Science and Engineering, Kunming University of Science and Technology, Kunming; 650093, China (2) Key Laboratory of Advanced Materials of Yunnan Province, Kunming; 650093, China ",JREAE6,714.2 Semiconductor Devices and Integrated Circuits - 741.1 Light/Optics - 802.2 Chemical Reactions - 804.2 Inorganic Compounds,,,,,Color - Energy transfer - Gadolinium compounds - Light - Light emitting diodes - Luminescence - Phosphors - Rare earths - Solid state reactions,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Yu, Xue(yuyu6593@126.com) ",10.1016/S1002-0721(14)60427-0,Engineering Village,Compendex,Journal article (JA),,,,,10020721,4,"April 1, 2015",English,Samarium compounds,,15.0,361-365,,2015,Chinese Society of Rare Earths,Journal of Rare Earths,,"Tunable color emission in K3Gd(PO4)2:Tb3+,Sm3+phosphor for n-UV white light emitting diodes",,Doping concentration - Energy transfer mechanisms - Energy transfer process - Fluorescence decays - Luminescence spectrum - Quadrupole interactions - Tunable color - White light emitting diodes,33,
Zhenkong Kexue yu Jishu Xuebao,"We experimentally addressed the direct recovery of Mg vapor by condensation in carbothermic reduction of magnesia in vacuum. The influence of the condensation conditions, including the temperature, temperature gradient and pressure, on the recovery efficiency of Mg vapor was investigated with X-ray diffraction, and scanning electron microscopy and energy dispersive spectroscopy. The results show that the pressure, condensation temperature and temperature gradient, strongly affect the recovery efficiency of Mg vapor and microstructures of Mg condensate. To be specific, in the 30~100 Pa range and with a fixed temperature gradient, a temperature close to the dew-point of Mg vapor resulted in high Mg recovery efficiency; at the optimized condensation temperature and pressure, a decreased temperature gradient increased the compactness and grain-size of the 90.05% pure Mg-condensate. ©, 2015, Science Press. All right reserved.",,,20153601245695,,"Liu, Hai (1, 2, 3, 4); Tian, Yang (1, 2, 3, 4); Yang, Bin (1, 2, 3, 4); Liu, Dachun (1, 2, 3, 4); Xu, Baoqiang (1, 2, 3, 4); Qu, Tao (1, 2, 3, 4); Dai, Yongnian (1, 2, 3, 4) ","(1) National Engineering Laboratory for Vacuum Metallurgy, Kunming, China (2) State Key Laboratory of Complex Non-Ferrous Metal Resources Clear Utilization, Kunming, China (3) Key Laboratory of Vacuum Metallurgy for Nonferrous Metal of Yunnan Province, Kunming, China (4) Faculty of Metallurgical and Energy Engineering, Kunming University of Science and Technology, Kunming, China ",CKKSDV,531 Metallurgy and Metallography - 633 Vacuum Technology - 641.1 Thermodynamics - 741.1 Light/Optics - 801 Chemistry - 802.3 Chemical Operations - 931.3 Atomic and Molecular Physics,,,,,Carbothermal reduction - Energy dispersive spectroscopy - Recovery - Scanning electron microscopy - Temperature - Thermal gradients - Vacuum - X ray diffraction,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Tian, Yang ",10.13922/j.cnki.cjovst.2015.07.14,Engineering Village,Compendex,Journal article (JA),,,,,16727126,7,"July 1, 2015",Chinese,Condensation,,10.0,867-871,,2015,Science Press,Zhenkong Kexue yu Jishu Xuebao/Journal of Vacuum Science and Technology,,Condensation of Mg-vapor in vacuum carbothermic reduction of magnesia,,Condensation temperature - Dew points - Grain size - In-vacuum - Pure Mg - Recovery efficiency - Vapor condensation,35,
Xiyou Jinshu Cailiao Yu Gongcheng,"First principles calculations have been carried out to investigate the structural stability, the elastic constants, the thermodynamic properties and the electronic structure of the intermetallic compounds α-Nb5Si, β-Nb5Si and γ-Nb5Si3. The optimized structural parameters are well consistent with the experimental values. Cohesive energy and formation enthalpy show that α-Nb5Si has the strongest structural stability. The independent single-crystal elastic constants at zero pressure as well as polycrystalline elastic parameters have been calculated by Voigt-Reuss-Hill averaging scheme. The mechanical properties of the different Nb5Si3phases such as ductility and elastic anisotropy were further analyzed and discussed. Copyright © 2015, Northwest Institute for Nonferrous Metal Research. Published by Elsevier BV. All rights reserved.",,,20150700525304,,"Duan, Yonghua (1) ","(1) Key Laboratory of Advanced Materials of Yunnan Province, Kunming University of Science and Technology, Kunming; 650093, China ",XJCGEA,"641.1 Thermodynamics - 921 Mathematics - 931.2 Physical Properties of Gases, Liquids and Solids - 933.1 Crystalline Solids",,,,,Calculations - Elastic constants - Electronic structure - Silicon compounds - Single crystals - Specific heat - Stability,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Duan, Yonghua(duanyh@kmust.edu.cn) ",,Engineering Village,Compendex,Journal article (JA),,"Number: -, Acronym: KUST, Sponsor: Kunming University of Science and Technology; Number: 51201079, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Received date: April 22, 2014 Foundation item: National Natural Science Foundation of China (51201079) Corresponding author: Duan Yonghua, Ph. D., Associate Professor, School of Material Science and Engineering, Kunming University of Science and Technology, Kunming 650093, P. R. China, Tel: 0086-871-65136698, E-mail: duanyh@kmust.edu.cn",,1002185X,1,"January 1, 2015",English,Niobium compounds,,28.0,18-23,,2015,Rare Metals Materials and Engineering Press,Xiyou Jinshu Cailiao Yu Gongcheng/Rare Metal Materials and Engineering,,"Stability, elastic constants and thermodynamic properties of (α, β, γ)-Nb5Si3phases",,Experimental values - First principles - First-principles calculation - Formation enthalpy - Nb5Si - Single crystal elastic constants - Structural parameter - Structural stabilities,44,
Sci. Total Environ.,"Background: Diurnal temperature range (DTR) is an important meteorological indicator that reflects weather stability and is associated with global climate change and urbanization. Previous studies have explored the effect of DTR on human health in coastal cities with small daily temperature variations, but we have little evidence for high plateau regions where large DTRs usually occur. Using daily mortality data (2007-2013), we conducted a time-series analysis to assess the effect of DTR on daily mortality in Yuxi, a high plateau city in southwest China. Methods: Poisson regression with distributed lag non-linear model was used to estimate DTR effects on daily mortality, controlling for daily mean temperature, relative humidity, sunshine duration, wind speed, atmospheric pressure, day of the week, and seasonal and long-term trends. Results: The cumulative effects of DTR were J-shaped curves for non-accidental, cardiorespiratory and cardiovascular mortality, with a U-shaped curve for respiratory mortality. Risk assessments showed strong monotonic increases in mortality starting at a DTR of approximately 16. °C. The relative risk of non-accidental morality with extreme high DTR at lag 0 and 0-21. days was 1.03 (95% confidence interval: 0.95-1.11) and 1.33 (0.94-1.89), respectively. The risk of mortality with extreme high DTR was greater for males and age © 2015 Elsevier B.V.",,,20151900835810,,"Ding, Zan (1); Guo, Pi (2); Xie, Fang (3); Chu, Huifang (4); Li, Kun (3); Pu, Jingbo (4); Pang, Shaojie (1); Dong, Hongli (1); Liu, Yahui (1); Pi, Fuhua (5); Zhang, Qingying (1) ","(1) Department of Preventive Medicine, Guangdong Provincial Key Laboratory of Infectious Diseases and Molecular Immunopathology, Shantou University Medical College, Shantou, Guangdong; 515041, China (2) Department of Medical Statistics and Epidemiology, School of Public Health, Sun Yat-sen University, Guangzhou, Guangdong; 510080, China (3) Hongta District Center for Disease Control and Prevention, Yuxi, Yunnan; 653100, China (4) Tonghai Center for Disease Control and Prevention, Yuxi, Yunnan; 652700, China (5) Department of Sports, Shantou University Medical College, Shantou, Guangdong; 515041, China ",STEVA8,443.1 Atmospheric Properties - 914.1 Accidents and Accident Prevention - 921.6 Numerical Methods - 922.2 Mathematical Statistics - 961 Systems Science,,,,,Accidents - Atmospheric humidity - Atmospheric pressure - Atmospheric temperature - Climate change - Harmonic analysis - Humidity control - Nonlinear systems - Risk assessment - Time series - Wind,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Zhang, Qingying(qyzhang@stu.edu.cn) ",10.1016/j.scitotenv.2015.05.012,Engineering Village,Compendex,Journal article (JA),18791026,"Number: 2013B021800264, Acronym: -, Sponsor: Medical Science and Technology Foundation of Guangdong Province; Number: -, Acronym: City, Sponsor: City, University of London; Number: 2014A030313472, Acronym: -, Sponsor: Natural Science Foundation of Guangdong Province; ","We thank the China Meteorological Data Sharing Service System for providing meteorology data. We also thank Dr. Stanley Lin and Laura Smales (BioMedEditing, Toronto, Canada) for English language editing. This study was supported by the Science and Technology Plans of Guangdong Province ( 2013B021800264 ), the Natural Science Foundation of Guangdong Province ( 2014A030313472 ) and the Scientific Research Program of Health Bureau of Yuxi City (2014) . Appendix A",,00489697,,"September 01, 2015",English,Time series analysis,,33.0,358-365,,2015,Elsevier B.V.,Science of the Total Environment,,Impact of diurnal temperature range on mortality in a high plateau area in southwest China: A time series analysis,,Cardiovascular mortality - Confidence interval - Diurnal temperature ranges - Global climate changes - High plateau - Intervention strategy - Mortality - Non-linear model,526,
